"","Mean","SD","2.5%","5%","25%","50%","75%","95%","97.5%","text"
"p.G12.P05",0.148,0.089,0.001,0.003,0.085,0.147,0.208,0.298,0.322,"14.8% [0.1%, 32.2%]"
"p.G13.P05",0.018,0.021,0,0,0.002,0.01,0.027,0.062,0.076,"1.8% [0%, 7.6%]"
"p.G14.P05",0.07,0.068,0,0.001,0.012,0.05,0.113,0.207,0.234,"7% [0%, 23.4%]"
"p.G15.P05",0.134,0.081,0.001,0.003,0.072,0.137,0.193,0.262,0.286,"13.4% [0.1%, 28.6%]"
"p.G16.P05",0.004,0.006,0,0,0,0.002,0.005,0.016,0.02,"0.4% [0%, 2%]"
"p.G17.P05",0.03,0.032,0,0,0.005,0.018,0.046,0.095,0.113,"3% [0%, 11.3%]"
"p.G18.P05",0.02,0.037,0,0,0.002,0.007,0.023,0.083,0.118,"2% [0%, 11.8%]"
"p.G19.P05",0.142,0.073,0.001,0.003,0.099,0.149,0.193,0.252,0.274,"14.2% [0.1%, 27.4%]"
"p.G20.P05",0.008,0.01,0,0,0.001,0.004,0.01,0.029,0.038,"0.8% [0%, 3.8%]"
"p.G21.P05",0.036,0.04,0,0,0.004,0.02,0.059,0.118,0.139,"3.6% [0%, 13.9%]"
"p.G22.P05",0.031,0.034,0,0,0.005,0.018,0.05,0.102,0.119,"3.1% [0%, 11.9%]"
"p.G23.P05",0.023,0.031,0,0,0.003,0.01,0.029,0.094,0.117,"2.3% [0%, 11.7%]"
"p.G24.P05",0.054,0.08,0,0,0.004,0.017,0.062,0.251,0.288,"5.4% [0%, 28.8%]"
"p.G25.P05",0.054,0.059,0,0,0.006,0.029,0.09,0.178,0.193,"5.4% [0%, 19.3%]"
"p.G26.P05",0.098,0.12,0,0,0.007,0.048,0.139,0.372,0.399,"9.8% [0%, 39.9%]"
"p.G27.P05",0.084,0.084,0,0.001,0.012,0.055,0.137,0.251,0.287,"8.4% [0%, 28.7%]"
"p.G28.P05",0.087,0.095,0,0.001,0.01,0.046,0.142,0.283,0.317,"8.7% [0%, 31.7%]"
"p.G29.P05",0.032,0.042,0,0,0.004,0.016,0.044,0.121,0.153,"3.2% [0%, 15.3%]"
"p.G30.P05",0.01,0.017,0,0,0.001,0.003,0.011,0.041,0.059,"1% [0%, 5.9%]"
"p.G31.P05",0.027,0.039,0,0,0.003,0.012,0.034,0.103,0.153,"2.7% [0%, 15.3%]"
"p.G32.P05",0.045,0.06,0,0,0.005,0.019,0.059,0.187,0.227,"4.5% [0%, 22.7%]"
"p.G33.P05",0.018,0.022,0,0,0.003,0.01,0.026,0.063,0.081,"1.8% [0%, 8.1%]"
"p.G34.P05",0.647,0.106,0.481,0.502,0.575,0.631,0.697,0.866,0.921,"64.7% [48.1%, 92.1%]"
