"","FishID","PITID","TL","Weight","ConditionFactor","InfectionScore","Sex","Date","TimeLoaded","TrialType","TrialDay","TrialRound","ArenaID","UniqueID","TankID","avespeed_tot","avespeed_mob","aveacceler","propmoving","dist","frozenevents","timefrozen_tot","centrescore","centretime50","centretime75","centretime100","Notes"
"102","G29",2156,16.7,64,1.37413866733885,1,"m","14-07-2020","10:40","ACT","trial 3","2","D","ACT3_2D","E",28.992,42.282,108.172,0.66,38749,33,330,2.19829103503094,366.633333333333,65.2,14.5666666666667,"moderate fin infection"
"104","G02",2182,14.2,37,1.29222069173621,1,"m","30-06-2020","14:40","ACT","trial 1","6","A","ACT1_6A","E",36.224,46.147,125.359,0.771,46125,16,70,1.9606239460371,210.966666666667,110.3,64.4333333333333,""
"105","G02",2182,14.2,39,1.36207045885709,1,"m","07-07-2020","11:51","ACT","trial 2","3","G","ACT2_3G","E",27.498,40.297,103.105,0.644,36984,42,268,2.25137032976801,346,57.7666666666667,35,""
"106","G02",2182,14.2,38,1.32714557529665,1,"m","14-07-2020","11:36","ACT","trial 3","3","F","ACT3_3F","E",21.129,35.924,90.538,0.553,29055,60,439,2.25090442956844,270.666666666667,91.1666666666667,56.1333333333333,""
"108","G20",2213,13.8,30,1.14152123686109,2,"m","07-07-2020","13:45","ACT","trial 2","5","C","ACT2_5C","D",2.323,41.093,10.322,0.035,3277,14,1170,2.05047222222222,414.233333333333,10.7333333333333,5.33333333333333,""
"109","G20",2213,13.8,31,1.17957194475646,2,"m","30-06-2020","11:28","ACT","trial 1","3","A","ACT1_3A","D",13.864,38.889,55.085,0.329,18131,30,781,2.01105555555556,233.666666666667,32.5333333333333,12.0333333333333,""
"110","G18",2216,13.3,26,1.10514286734418,1,"m","07-07-2020","14:50","ACT","trial 2","6","C","ACT2_6C","D",34.348,48.935,137.506,0.68,43934,42,245,2.22271053908279,354.1,87.2,32.3,""
"111","G18",2216,13.3,27,1.14764836224203,1,"m","14-07-2020","09:42","ACT","trial 3","1","C","ACT3_1C","D",31.245,50.167,109.679,0.595,39553,57,389,2.22144488863507,360.8,63.9666666666667,14.8,""
"112","G18",2216,13.3,26,1.10514286734418,1,"m","30-06-2020","11:28","ACT","trial 1","3","B","ACT1_3B","D",38.555,53.544,133.003,0.716,48852,25,105,2.04454151158141,260.1,58.5,22.3333333333333,""
"113","G10",2217,13.6,32,1.27213515163851,2,"m","30-06-2020","14:40","ACT","trial 1","6","E","ACT1_6E","E",46.037,54.311,164.49,0.84,57602,8,32,2.268826497895,343.1,175.833333333333,104.533333333333,""
"114","G10",2217,13.6,32,1.27213515163851,2,"m","07-07-2020","12:50","ACT","trial 2","4","A","ACT2_4A","E",44.636,55.151,154.293,0.796,55733,19,149,2.22258294176278,331.566666666667,183.166666666667,114.766666666667,""
