"","X","PITID","FishID","TL","InfectionScore","Sex","Date","TimeLoaded","TimeInitiated","TrialType","TrialDay","TrialRound","ArenaID","TankID","emergetime","emergelat","endpointtime","endpointlat","endpointspeed","refugereturntime","refugereturnlat","Notes","UniqueID","emergelat.bin.A","emergelat.bin.B","endpointlat.bin.A","endpointlat.bin.B","endpointspeed.ln","refugereturnlat.ln","Weight"
"96",43,2040,"G49",13.2,2,"m","02-07-2020","12:13","12:23","EXPL","1","4","D","C","00:01",1,"00:54",54,53,"01:23",82,"","EXPL1_4D",1,1,1,1,3.97029191355212,4.40671924726425,35
"97",42,2040,"G49",13.2,2,"m","09-07-2020","12:52","13:02","EXPL","2","5","C","C","00:11",11,"00:31",31,20,"01:39",88,"","EXPL2_5C",1,1,1,1,2.99573227355399,4.47733681447821,35
"98",44,2040,"G49",13.2,2,"m","16-07-2020","16:40","16:50","EXPL","3","7","D","C","00:01",1,"00:28",28,27,"03:40",219,"","EXPL3_7D",1,1,1,1,3.29583686600433,5.3890717298165,36
"99",47,2044,"G51",14,2,"m","02-07-2020","14:20","14:30","EXPL","1","6","E","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL1_6E",0,0,0,0,NA,NA,35
"100",45,2044,"G51",14,2,"m","09-07-2020","11:48","11:58","EXPL","2","4","D","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL2_4D",0,0,0,0,NA,NA,35
"101",46,2044,"G51",14,2,"m","16-07-2020","16:40","16:50","EXPL","3","7","A","C",NA,2700,NA,2700,NA,NA,NA,"","EXPL3_7A",0,0,0,0,NA,NA,35
"102",10,1384,"G52",12.5,1,"m","02-07-2020","13:15","13:25","EXPL","1","5","E","C","02:38",158,"18:50",1130,972,"03:04",26,"","EXPL1_5E",1,0,1,0,6.87935580446044,3.25809653802148,27
"103",12,1384,"G52",12.5,1,"m","09-07-2020","10:43","10:53","EXPL","2","3","D","C","00:01",1,"00:17",17,16,"00:35",34,"","EXPL2_3D",1,1,1,1,2.77258872223978,3.52636052461616,27
"104",11,1384,"G52",12.5,1,"m","16-07-2020","15:33","15:43","EXPL","3","6","E","C","00:06",6,"00:42",42,36,"00:24",18,"","EXPL3_6E",1,1,1,1,3.58351893845611,2.89037175789616,26
"105",14,1395,"G53",14.3,1,"m","02-07-2020","14:20","14:30","EXPL","1","6","B","C","02:46",166,"04:09",249,83,"05:16",150,"","EXPL1_6B",1,0,1,0,4.4188406077966,5.01063529409626,41
"106",15,1395,"G53",14.3,1,"m","09-07-2020","10:43","10:53","EXPL","2","3","C","C","00:02",2,"00:17",17,15,"00:38",36,"","EXPL2_3C",1,1,1,1,2.70805020110221,3.58351893845611,41
"107",13,1395,"G53",14.3,1,"m","16-07-2020","16:40","16:50","EXPL","3","7","B","C","00:39",39,NA,2700,NA,"00:49",10,"","EXPL3_7B",1,1,0,0,NA,2.30258509299405,41
"108",2,1260,"G54",9.5,2,"m","02-07-2020","15:23","15:33","EXPL","1","7","A","C","01:12",72,"01:25",85,13,"01:47",35,"","EXPL1_7A",1,0,1,1,2.56494935746154,3.55534806148941,11
"109",3,1260,"G54",9.5,2,"m","09-07-2020","12:52","13:02","EXPL","2","5","B","C","00:46",46,"01:05",65,19,"01:20",34,"","EXPL2_5B",1,1,1,1,2.94443897916644,3.52636052461616,11
"110",1,1260,"G54",9.5,2,"m","16-07-2020","16:40","16:50","EXPL","3","7","C","C","00:31",31,"02:17",137,106,"00:44",13,"","EXPL3_7C",1,1,1,1,4.66343909411207,2.56494935746154,10
"111",56,2065,"G55",11.3,3,"m","02-07-2020","15:23","15:33","EXPL","1","7","B","C","06:00",360,NA,2700,NA,"06:33",33,"","EXPL1_7B",1,0,0,0,NA,3.49650756146648,23
"112",54,2065,"G55",11.3,3,"m","09-07-2020","12:52","13:02","EXPL","2","5","A","C","00:55",55,NA,2700,NA,"01:02",7,"","EXPL2_5A",1,1,0,0,NA,1.94591014905531,24
"113",55,2065,"G55",11.3,3,"m","16-07-2020","16:40","16:50","EXPL","3","7","E","C","04:33",273,NA,2700,NA,"04:52",19,"","EXPL3_7E",1,0,0,0,NA,2.94443897916644,24
